X,Y,Z,Name,Elevation,Location,Notes,Time Created
-119.02123,36.95519,0,OUTLET,"6,627.3 ft","36.95519, -119.02123",,"6/4/24, 12:16:01 PM PDT"
-119.02789,36.96085,0,TEAK01,"6,857.0 ft","36.96085, -119.02789",,"6/4/24, 12:06:41 PM PDT"
-119.03006,36.96111,0,TEAK02,"7,007.9 ft","36.96111, -119.03006",,"6/4/24, 12:09:15 PM PDT"
-119.02956,36.96162,0,TEAK03,"6,906.2 ft","36.96162, -119.02956",,"6/4/24, 12:07:01 PM PDT"
-119.03309,36.96107,0,TEAK04,"7,073.5 ft","36.96107, -119.03309",,"6/4/24, 12:09:33 PM PDT"
-119.03643,36.96392,0,TEAK05,"7,208.0 ft","36.96392, -119.03643",,"6/4/24, 12:10:02 PM PDT"
-119.03537,36.96377,0,TEAK06,"7,152.2 ft","36.96377, -119.03537",,"6/4/24, 12:09:50 PM PDT"
-119.03881,36.96666,0,TEAK07,"7,276.9 ft","36.96666, -119.03881",,"6/4/24, 12:10:09 PM PDT"
-119.0396,36.9667,0,TEAK08,"7,368.8 ft","36.96670, -119.03960","Wet meadow between TEA8 and 9 (36.96670, -119.03960)","6/25/24, 7:38:54 AM PDT"
-119.04069,36.97021,0,TEAK09,"7,365.5 ft","36.97021, -119.04069",,"6/4/24, 12:12:05 PM PDT"
-119.04133,36.9692,0,TEAK10,"7,519.7 ft","36.96920, -119.04133",,"6/4/24, 12:12:20 PM PDT"
-119.042,36.97263,0,TEAK11,"7,526.2 ft","36.97263, -119.04200",,"6/4/24, 12:12:34 PM PDT"
-119.04217,36.97355,0,TEAK12,"7,726.4 ft","36.97355, -119.04217",,"6/4/24, 12:14:17 PM PDT"
-119.04268,36.97347,0,TEAK13,"7,778.9 ft","36.97347, -119.04268",,"6/4/24, 12:14:29 PM PDT"
-119.0482,36.97683,0,TEAK14,"7,988.8 ft","36.97683, -119.04820",,"6/4/24, 12:15:08 PM PDT"
-119.05129,36.96897,0,TECR-extra,"7,808.4 ft","36.96897, -119.05129","Few small pools, no flow.","6/4/24, 12:24:10 PM PDT"
-119.05103,36.97159,0,TECR-extra,0.0 ft,"36.97159, -119.05103",,"5/27/25, 12:58:54 PM PDT"
-119.04473,36.95765,0,TECR-extra,0.0 ft,"36.95765, -119.04473",Moved downstream from prior TECR14,"5/27/25, 11:16:19 AM PDT"
-119.04444,36.95737,0,TECR-extra,0.0 ft,"36.95737, -119.04444",Rename or finalize name,"5/27/25, 11:05:15 AM PDT"
-119.02354,36.9552,0,TECR01,0.0 ft,"36.95520, -119.02354",Neon Site,"5/27/25, 9:00:30 AM PDT"
-119.03128,36.95719,0,TECR02,0.0 ft,"36.95719, -119.03128",,"5/30/25, 8:30:54 AM PDT"
-119.0329,36.95606,0,TECR03,"6,991.5 ft","36.95606, -119.03290",,"6/4/24, 12:16:29 PM PDT"
-119.03311,36.95812,0,TECR04,"7,030.8 ft","36.95812, -119.03311",,"6/4/24, 12:16:39 PM PDT"
-119.03792,36.95632,0,TECR05,"7,568.9 ft","36.95632, -119.03792",,"6/4/24, 12:23:17 PM PDT"
-119.03873,36.95565,0,TECR06,"7,267.1 ft","36.95565, -119.03873",,"6/4/24, 12:25:57 PM PDT"
-119.03866,36.95624,0,TECR07,"7,303.1 ft","36.95624, -119.03866",,"6/4/24, 12:25:45 PM PDT"
-119.04227,36.96289,0,TECR08,"7,365.5 ft","36.96289, -119.04227",,"6/4/24, 12:17:40 PM PDT"
-119.04598,36.96622,0,TECR09,"7,880.6 ft","36.96622, -119.04598",,"6/4/24, 12:24:57 PM PDT"
-119.04751,36.96627,0,TECR10,"7,650.9 ft","36.96627, -119.04751",,"6/4/24, 12:23:48 PM PDT"
-119.04908,36.96782,0,TECR11,"7,841.2 ft","36.96782, -119.04908",,"6/4/24, 12:24:31 PM PDT"
-119.04373,36.95736,0,TECR12,"7,500.0 ft","36.95736, -119.04373",,"6/4/24, 12:26:11 PM PDT"
-119.05036,36.97086,0,TECR13,0.0 ft,"36.97086, -119.05036",,"5/27/25, 12:52:06 PM PDT"
