"watershed_name","area_m2","ID","percent_high_severity"
"outlet",6986479.7803768,1,50.9880786443613
"TECR01",2865923.94788513,2,51.1456566798568
"TECR02",2752124.44491992,3,50.3170569786874
"TEAK01",2253069.81960258,4,53.1329892624313
"TECR04",1985896.06707736,5,56.6027047114914
"TEAK02",1969146.77786994,6,54.1636005466454
"TEAK05",1318244.10123673,7,65.2545555092817
"TECR09",1250139.78384991,8,55.7465802735781
"TEAK07",1170941.93291645,9,69.6791053379962
"TECR11",776931.957085418,10,60.2101580240048
"TECR03",682686.576384299,11,34.7149166172302
"TEAK09",680646.594512573,12,91.5154720973288
"TEAK11",572672.240397647,13,95.6287331027979
"TECR05",560752.837626813,14,29.313388758707
"TEAK13",379290.464920241,15,95.2654436718324
"TEAK06",376304.736781359,16,34.5187984310724
"TECR13",342959.264298486,17,72.737532808399
"TECR10",330402.092813432,18,42.8209597472629
"TECR06",261753.769679858,19,33.4273042940145
"TECR12",221500.541546367,20,38.9013042948275
"TEAK03",221319.843157858,21,40.3822692151281
"TEAK10",182197.044835745,22,52.7358024691358
"TECR07",164971.89928217,23,27.4586810669285
"TECR12B",131188.389881143,24,37.3155836135319
"TEAK12",102392.480570275,25,96.4040794795147
"TEAK14",97761.1560917124,26,88.1914404049701
"TECR08",65149.3800202701,27,45.119425652354
"TEAK08",14659.7212803774,28,87.4617737003058
"TEAK04",8610.17906877398,29,14.1361256544503
